Date,Arena Name,Long,Lat,,,,
4/2/19,Nationwide Arena,39.9692826,-83.0058984,,,,
3/31/19,Little Caesars Arena,42.341028,-83.0572264,,,,
3/25/19,Amalie Arena,27.9427373,-82.4539658,,,,
3/25/19,Amalie Arena,27.9427373,-82.4539658,,,,
3/23/19,BB&T Center,26.158469,-80.3277399,,,,
3/16/19,TD Garden,42.366198,-71.0643347,,,,
3/12/19,Nationwide Arena,39.9692826,-83.0058984,,,,
3/12/19,Nationwide Arena,39.9692826,-83.0058984,,,,
3/9/19,TD Garden,42.366198,-71.0643347,,,,
3/2/19,TD Garden,42.366198,-71.0643347,,,,
2/28/19,TD Garden,42.366198,-71.0643347,,,,
2/26/19,TD Garden,42.366198,-71.0643347,,,,
2/20/19,T-Mobile Arena,36.1028767,-115.1806211,,,,
2/16/19,STAPLES Center,34.0430175,-118.2694428,,,,
2/12/19,TD Garden,42.366198,-71.0643347,,,,
2/10/19,TD Garden,42.366198,-71.0643347,,,,
2/9/19,TD Garden,42.366198,-71.0643347,,,,
1/19/19,TD Garden,42.366198,-71.0643347,,,,
1/17/19,TD Garden,42.366198,-71.0643347,,,,
1/14/19,TD Garden,42.366198,-71.0643347,,,,
1/8/19,TD Garden,42.366198,-71.0643347,,,,
1/3/19,TD Garden,42.366198,-71.0643347,,,,
1/3/19,TD Garden,42.366198,-71.0643347,,,,
1/1/19,Notre Dame Stadium,41.6983981,-86.2361047,,,,
12/22/18,TD Garden,42.366198,-71.0643347,,,,
12/17/18,Bell Centre,45.3748623,-73.9252404,,,,
12/11/18,TD Garden,42.366198,-71.0643347,,,,
12/11/18,TD Garden,42.366198,-71.0643347,,,,
12/9/18,Canadian Tire Centre,45.2969151,-75.9290117,,,,
11/29/18,TD Garden,42.366198,-71.0643347,,,,
11/11/18,TD Garden,42.366198,-71.0643347,,,,
11/5/18,TD Garden,42.366198,-71.0643347,,,,
10/30/18,PNC Arena,35.8033394,-78.7239833,,,,
10/30/18,PNC Arena,35.8033394,-78.7239833,,,,
10/17/18,Scotiabank Saddledome,51.0374336,-114.0541228,,,,
10/11/18,TD Garden,42.366198,-71.0643347,,,,
3/29/18,TD Garden,42.366198,-71.0643347,,,,
3/25/18,Xcel Energy Center,44.9448315,-93.1032857,,,,
3/23/18,American Airlines Center,32.7905064,-96.8125436,,,,
3/19/18,TD Garden,42.366198,-71.0643347,,,,
3/13/18,PNC Arena,35.8033394,-78.7239833,,,,
3/8/18,TD Garden,42.366198,-71.0643347,,,,
3/6/18,TD Garden,42.366198,-71.0643347,,,,
3/6/18,TD Garden,42.366198,-71.0643347,,,,
3/6/18,TD Garden,42.366198,-71.0643347,,,,
3/3/18,TD Garden,42.366198,-71.0643347,,,,
2/24/18,Air Canada Centre,43.6434661,-79.3812876,,,,
2/24/18,Air Canada Centre,43.6434661,-79.3812876,,,,
2/19/18,Scotiabank Saddledome,51.0374336,-114.0541228,,,,
1/23/18,TD Garden,42.366198,-71.0643347,,,,
1/18/18,Barclays Center,40.6826499,-73.9776019,,,,
1/17/18,TD Garden,42.366198,-71.0643347,,,,
1/13/18,Bell Centre,45.3748623,-73.9252404,,,,
1/7/18,PPG Paints Arena,40.439577,-79.9916683,,,,
1/2/18,Barclays Center,40.6826499,-73.9776019,,,,
12/23/17,TD Garden,42.366198,-71.0643347,,,,
12/18/17,TD Garden,42.366198,-71.0643347,,,,
12/16/17,TD Garden,42.366198,-71.0643347,,,,
12/13/17,Little Caesars Arena,42.341028,-83.0572264,,,,
12/9/17,TD Garden,42.366198,-71.0643347,,,,
12/7/17,TD Garden,42.366198,-71.0643347,,,,
12/2/17,Wells Fargo Center,39.9012015,-75.1741682,,,,
10/30/17,Nationwide Arena,39.9692826,-83.0058984,,,,
10/28/17,TD Garden,42.366198,-71.0643347,,,,
10/21/17,TD Garden,42.366198,-71.0643347,,,,
10/21/17,TD Garden,42.366198,-71.0643347,,,,
10/19/17,TD Garden,42.366198,-71.0643347,,,,
10/14/17,Gila River Arena,33.532074,-112.263405,,,,
10/11/17,Pepsi Center,39.74866,-105.0098987,,,,
10/5/17,TD Garden,42.366198,-71.0643347,,,,
4/1/17,TD Garden,42.366198,-71.0643347,,,,
3/30/17,TD Garden,42.366198,-71.0643347,,,,
3/16/17,Rogers Place,53.5469828,-113.5000969,,,,
3/15/17,Scotiabank Saddledome,51.0374336,-114.0541228,,,,
3/13/17,Rogers Arena,53.5469828,-113.5000969,,,,
3/13/17,Rogers Arena,53.5469828,-113.5000969,,,,
3/13/17,Rogers Arena,53.5469828,-113.5000969,,,,
3/8/17,TD Garden,42.366198,-71.0643347,,,,
3/8/17,TD Garden,42.366198,-71.0643347,,,,
3/6/17,Canadian Tire Centre,45.2969151,-75.9290117,,,,
3/2/17,TD Garden,42.366198,-71.0643347,,,,
2/28/17,TD Garden,42.366198,-71.0643347,,,,
2/26/17,American Airlines Center,32.7905064,-96.8125436,,,,
2/23/17,STAPLES Center,34.0430175,-118.2694428,,,,
2/19/17,SAP Center at San Jose,37.3327507,-121.9034334,,,,
2/9/17,TD Garden,42.366198,-71.0643347,,,,
2/1/17,Verizon Center,38.8980581,-77.0230686,,,,
2/1/17,Verizon Center,38.8980581,-77.0230686,,,,
1/26/17,TD Garden,42.366198,-71.0643347,,,,
1/26/17,TD Garden,42.366198,-71.0643347,,,,
1/24/17,TD Garden,42.366198,-71.0643347,,,,
1/24/17,TD Garden,42.366198,-71.0643347,,,,
1/14/17,TD Garden,42.366198,-71.0643347,,,,
1/14/17,TD Garden,42.366198,-71.0643347,,,,
1/10/17,Scottrade Center,38.6268402,-90.204867,,,,
1/10/17,Scottrade Center,38.6268402,-90.204867,,,,
1/8/17,PNC Arena,35.8033394,-78.7239833,,,,
1/7/17,BB&T Center,32.7251044,-86.7386833,,,,
1/7/17,BB&T Center,32.7251044,-86.7386833,,,,
12/23/16,PNC Arena,35.8033394,-78.7239833,,,,
12/14/16,PPG Paints Arena,40.439577,-79.9916683,,,,
12/10/16,TD Garden,42.366198,-71.0643347,,,,
11/29/16,Wells Fargo Center,39.9012015,-75.1741682,,,,
11/19/16,TD Garden,42.366198,-71.0643347,,,,
11/7/16,TD Garden,42.366198,-71.0643347,,,,
11/1/16,BB&T Center,32.7251044,-86.7386833,,,,
10/20/16,TD Garden,42.366198,-71.0643347,,,,
10/13/16,Nationwide Arena,39.9692826,-83.0058984,,,,
10/13/16,Nationwide Arena,39.9692826,-83.0058984,,,,
4/7/16,TD Garden,42.366198,-71.0643347,,,,
4/3/16,United Center,41.8806908,-87.6763646,,,,
3/29/16,Prudential Center,40.7335424,-74.1732142,,,,
